Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2021,December,2 Eastern, Indigo,612,3547.620427801
2021,December,2 Eastern, Knox,10043,6258.061702008
2021,December,2 Eastern, Latrobe,11339,14703.632143367
2021,December,2 Eastern, Manningham,4012,3188.656901471
2021,December,2 Eastern, Mansfield,489,4831.538385535
2021,December,2 Eastern, Maroondah,7454,6421.710101228
2021,December,2 Eastern, Mitchell,3674,7390.569681365
2021,December,2 Eastern, Moira,2349,7735.370632595
2021,December,2 Eastern, Monash,11482,5952.522901298
2021,December,2 Eastern, Murrindindi,808,5337.208534249
2021,December,2 Eastern, South Gippsland,1698,5587.731999473
2021,December,2 Eastern, Strathbogie,649,5709.007741027
2021,December,2 Eastern, Towong,194,3136.113805367
2021,December,2 Eastern, Wangaratta,2338,7858.559376155
2021,December,2 Eastern, Wellington,4386,9646.132529856
2021,December,2 Eastern, Whitehorse,7603,4444.197641997
2021,December,2 Eastern, Wodonga,3439,7959.35843729
2021,December,2 Eastern, Yarra Ranges,7610,4834.170790428
2021,December,2 Eastern,Total,111201,6531.511026818
2021,December,3 Southern Metro, Bayside,4298,4200.218903917
2021,December,3 Southern Metro, Cardinia,6420,5369.105065525
2021,December,3 Southern Metro, Casey,19786,5353.963383285
2021,December,3 Southern Metro, Frankston,11748,8342.328012271
2021,December,3 Southern Metro, Glen Eira,6840,4540.686944861
2021,December,3 Southern Metro, Greater Dandenong,16551,10337.913803873
2021,December,3 Southern Metro, Kingston,9603,6018.651992429
2021,December,3 Southern Metro, Mornington Peninsula,9011,5286.904482516
2021,December,3 Southern Metro, Port Phillip,12329,11919.217308919
2021,December,3 Southern Metro, Stonnington,10602,9983.990959601
2021,December,3 Southern Metro,Total,107188,6772.721327551
2021,December,4 Western, Ararat,1591,13452.270229137
2021,December,4 Western, Ballarat,10139,8932.724837891
2021,December,4 Western, Buloke,286,4664.057403783
2021,December,4 Western, Campaspe,3285,8520.074696545
2021,December,4 Western, Central Goldfields,1084,8096.80310726
2021,December,4 Western, Colac-Otway,1551,6952.351069075
2021,December,4 Western, Corangamite,868,5414.847161572
2021,December,4 Western, Gannawarra,793,7470.560527555
2021,December,4 Western, Glenelg,1756,8754.611626284
2021,December,4 Western, Golden Plains,604,2426.482403985
2021,December,4 Western, Greater Bendigo,10464,8628.537502474
2021,December,4 Western, Greater Geelong,19999,7381.556995851
2021,December,4 Western, Hepburn,555,3366.69699727
2021,December,4 Western, Hindmarsh,452,7991.513437058
2021,December,4 Western, Horsham,2424,11896.348645465
2021,December,4 Western, Loddon,539,6997.273789433
2021,December,4 Western, Macedon Ranges,2023,3920.61861664
2021,December,4 Western, Mildura,6594,11575.325632834
2021,December,4 Western, Moorabool,2120,5592.192033764
2021,December,4 Western, Mount Alexander,924,4593.815253058
2021,December,4 Western, Moyne,706,4081.868640148
2021,December,4 Western, Northern Grampians,1094,9204.105670537
2021,December,4 Western, Pyrenees,456,5985.037406484
2021,December,4 Western, Queenscliffe,87,2688.504326329
2021,December,4 Western, Southern Grampians,1035,6275.770070337
2021,December,4 Western, Surf Coast,1364,3623.034424139
2021,December,4 Western, Swan Hill,2483,11613.114447407
2021,December,4 Western, Warrnambool,3127,8825.106539102
2021,December,4 Western, West Wimmera,216,5429.864253394
2021,December,4 Western, Yarriambiack,375,5760.368663594
2021,December,4 Western,Total,78994,7539.012581564
2021,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,2208,
2021,December,Justice Institutions and Immigration Facilities,Total,2208,
2021,December,Unincorporated Vic, Unincorporated Vic,87,
2021,December,Unincorporated Vic,Total,87,
2020,December,1 North West Metro, Banyule,9456,7257.433189556
2020,December,1 North West Metro, Brimbank,20216,9899.467712633
2020,December,1 North West Metro, Darebin,15737,10019.992868786
2020,December,1 North West Metro, Hobsons Bay,5825,6119.147416302
2020,December,1 North West Metro, Hume,21992,9026.321297965
2020,December,1 North West Metro, Maribyrnong,9156,10239.549084077
2020,December,1 North West Metro, Melbourne,36502,21397.628217529
2020,December,1 North West Metro, Melton,14353,8269.476740836
2020,December,1 North West Metro, Merri-bek,13768,7647.614286508
2020,December,1 North West Metro, Moonee Valley,8403,6627.70337419
2020,December,1 North West Metro, Nillumbik,2286,3553.993967849
2020,December,1 North West Metro, Whittlesea,16792,7268.005540166
2020,December,1 North West Metro, Wyndham,18263,6356.946939003
2020,December,1 North West Metro, Yarra,14202,14692.433427821
2020,December,1 North West Metro,Total,206951,9197.39709809
2020,December,2 Eastern, Alpine,582,4458.403554466
2020,December,2 Eastern, Bass Coast,2893,7427.471116816
2020,December,2 Eastern, Baw Baw,5083,9116.998188438
2020,December,2 Eastern, Benalla,1409,9796.968432763
2020,December,2 Eastern, Boroondara,8012,4504.286718201
2020,December,2 Eastern, East Gippsland,5147,10751.13840498
2020,December,2 Eastern, Greater Shepparton,9160,13377.340304349
2020,December,2 Eastern, Indigo,575,3359.626059013
2020,December,2 Eastern, Knox,11986,7342.47313804
2020,December,2 Eastern, Latrobe,13628,17764.684412232
2020,December,2 Eastern, Manningham,4837,3779.290084149
2020,December,2 Eastern, Mansfield,512,5228.758169935
2020,December,2 Eastern, Maroondah,8010,6771.207574285
2020,December,2 Eastern, Mitchell,5335,11097.705572775
2020,December,2 Eastern, Moira,2270,7492.243712456
2020,December,2 Eastern, Monash,12826,6387.736502134
2020,December,2 Eastern, Murrindindi,895,6018.020441097
2020,December,2 Eastern, South Gippsland,1743,5757.795983087
2020,December,2 Eastern, Strathbogie,617,5529.664814483
2020,December,2 Eastern, Towong,219,3549.43273906
2020,December,2 Eastern, Wangaratta,3083,10444.828403971
2020,December,2 Eastern, Wellington,4843,10737.16882829
2020,December,2 Eastern, Whitehorse,9346,5286.378497008
2020,December,2 Eastern, Wodonga,3568,8362.630666104
2020,December,2 Eastern, Yarra Ranges,8759,5513.104559531
2020,December,2 Eastern,Total,125338,7269.768151365
2020,December,3 Southern Metro, Bayside,5586,5319.088156316
2020,December,3 Southern Metro, Cardinia,7602,6525.041843698
2020,December,3 Southern Metro, Casey,23188,6370.854740775
2020,December,3 Southern Metro, Frankston,14784,10397.28252843
2020,December,3 Southern Metro, Glen Eira,7867,5086.77322574
2020,December,3 Southern Metro, Greater Dandenong,19351,11682.000386361
2020,December,3 Southern Metro, Kingston,11631,7127.012916983
2020,December,3 Southern Metro, Mornington Peninsula,11331,6658.009471989
2020,December,3 Southern Metro, Port Phillip,13574,12275.94190316
2020,December,3 Southern Metro, Stonnington,11589,10291.270757482
2020,December,3 Southern Metro,Total,126503,7883.997671627
2020,December,4 Western, Ararat,1564,13123.007215976
2020,December,4 Western, Ballarat,9764,8745.577500112
2020,December,4 Western, Buloke,498,8089.668615984
2020,December,4 Western, Campaspe,3785,9862.164204383
2020,December,4 Western, Central Goldfields,1163,8741.731809982
2020,December,4 Western, Colac-Otway,1810,8126.066265601
2020,December,4 Western, Corangamite,867,5382.418673951
2020,December,4 Western, Gannawarra,961,9087.470449173
2020,December,4 Western, Glenelg,1679,8371.977063077
2020,December,4 Western, Golden Plains,588,2413.198719527
2020,December,4 Western, Greater Bendigo,11062,9221.560879641
2020,December,4 Western, Greater Geelong,22961,8630.786810808
2020,December,4 Western, Hepburn,713,4363.792153743
2020,December,4 Western, Hindmarsh,590,10409.315455187
2020,December,4 Western, Horsham,2479,12160.902624479
2020,December,4 Western, Loddon,532,6947.890818859
2020,December,4 Western, Macedon Ranges,2734,5371.949542186
2020,December,4 Western, Mildura,6572,11462.457486701
2020,December,4 Western, Moorabool,2690,7281.290601992
2020,December,4 Western, Mount Alexander,952,4774.562415367
2020,December,4 Western, Moyne,672,3931.893979287
2020,December,4 Western, Northern Grampians,1192,10097.416349005
2020,December,4 Western, Pyrenees,515,6826.617179215
2020,December,4 Western, Queenscliffe,122,3941.841680129
2020,December,4 Western, Southern Grampians,1160,7027.747485763
2020,December,4 Western, Surf Coast,1514,4225.863175817
2020,December,4 Western, Swan Hill,2491,11586.585422578
2020,December,4 Western, Warrnambool,3335,9416.116099159
2020,December,4 Western, West Wimmera,169,4231.347020531
2020,December,4 Western, Yarriambiack,505,7604.276464388
2020,December,4 Western,Total,85639,8271.462445248
2020,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,3016,
2020,December,Justice Institutions and Immigration Facilities,Total,3016,
2020,December,Unincorporated Vic, Unincorporated Vic,56,
2020,December,Unincorporated Vic,Total,56,
2019,December,1 North West Metro, Banyule,9514,7284.448766146
2019,December,1 North West Metro, Brimbank,19791,9571.458279933
2019,December,1 North West Metro, Darebin,14523,9232.793805388
2019,December,1 North West Metro, Hobsons Bay,6225,6496.691644576
2019,December,1 North West Metro, Hume,21416,9098.865615839
2019,December,1 North West Metro, Maribyrnong,8901,9949.698189135
